item,category,store,price,unit_price,size,unit_label,last_updated,confidence
Watermelon,Produce,Costco,6.99,,,,2026-06-21,receipt
Bananas,Produce,Costco,1.49,,,,2026-06-21,receipt
Oranges,Produce,Costco,5.62,,,,2026-06-21,receipt
Pineapple,Produce,Costco,2.99,,,,2026-06-21,receipt
Strawberries,Produce,Costco,6.39,,,,2026-06-21,receipt
Blueberries,Produce,Costco,4.89,,,,2026-06-21,receipt
Raspberries,Produce,Costco,3.94,,,,2026-06-21,receipt
Green Grapes,Produce,Costco,5.39,,,,2026-06-21,receipt
"Apples, 3lb Org Gala",Produce,Costco,4.69,1.56,3lb,$/lb,2026-06-21,receipt
"Potatoes, 10lb Bakers",Produce,Costco,4.84,0.48,10lb,$/lb,2026-06-21,receipt
"Potatoes, 3.5lb",Produce,Costco,4.99,1.43,3.5lb,$/lb,2026-06-21,receipt
Mushrooms,Produce,Costco,3.99,,,,2026-06-21,receipt
Mushrooms,Produce,Walmart,2.18,4.36,8oz,$/lb,2026-07-19,receipt
Romaine,Produce,Costco,5.89,,,,2026-06-21,receipt
Sweet Corn,Produce,Costco,4.99,,,,2026-06-21,receipt
Grape Tomato,Produce,Costco,6.29,,,,2026-06-21,receipt
"Bell Peppers, 3ct",Produce,Walmart,2.97,0.99,3ct,$/pepper,2026-07-19,receipt
"Collard Greens, bunch",Produce,Walmart,2.47,,,,2026-07-19,receipt
"Carrots, 2lb",Produce,Walmart,2.26,1.13,2lb,$/lb,2026-07-19,receipt
"Avocados, 5-6ct bag",Produce,Walmart,3.48,,,,2026-07-19,receipt
"Cabbage, each",Produce,Walmart,2.79,,,,2026-07-19,receipt
Cucumbers,Produce,Costco,6.49,,,,2026-06-21,receipt
Cucumbers,Produce,Walmart,2.08,2.08,16oz,$/lb,2026-07-19,receipt
Green Onions,Produce,Costco,5.99,,,,2026-06-21,receipt
Green Onions,Produce,Walmart,1.07,,,,2026-07-19,receipt
Whole Milk,Dairy,Costco,3.68,,,,2026-06-21,receipt
Whole Milk,Dairy,Walmart,3.12,,1gal,,2026-07-19,receipt
Eggs,Dairy,Costco,8.39,0.14,5dz (60ct),$/egg,2026-06-21,receipt
