date,store,item_code,item_name,category,unit_price,discount,net_price,pack_qty,pack_unit,unit_price_per_lb,unit_price_per_ct
2026-05-10,Costco,132666,BASMATI RICE,Pantry,21.99,,21.99,,,,
2026-05-10,Costco,34450,CHUCK ROAST,Meat,143.70,,143.70,,,,
2026-05-10,Costco,4032,WATERMELON,Produce,6.99,,6.99,,,,
2026-05-10,Costco,33825,WHOLE FRYERS,Meat,12.98,,12.98,,,,
2026-06-04,Costco,1136340,3LB ORG GALA,Produce,4.69,,4.69,3.0,lb,1.563,
2026-06-04,Costco,67072,ORANGES,Produce,7.29,,7.29,,,,
2026-06-04,Costco,2619,ORG BANANAS,Produce,2.19,,2.19,,,,
2026-06-04,Costco,5276,RED GRAPES,Produce,6.79,1.50,5.29,,,,
2026-06-04,Costco,33852,DRUMSTICKS,Meat,7.86,,7.86,,,,
2026-06-04,Costco,123614,GREEN ONIONS,Produce,5.99,,5.99,,,,
2026-06-04,Costco,142354,RITZ 61.6 OZ,Snacks,10.29,2.50,7.79,61.6,oz,2.023,
2026-06-04,Costco,993449,ORGANIC PSTA,Pantry,10.79,,10.79,,,,
2026-06-04,Costco,8789,PINEAPPLE,Produce,2.99,,2.99,,,,
2026-06-04,Costco,673678,HVY CREAM QT,Dairy,4.39,,4.39,,,,
2026-06-04,Costco,4032,WATERMELON,Produce,6.99,,6.99,,,,
2026-06-04,Costco,1360,LEMONS,Produce,3.79,,3.79,,,,
2026-06-04,Costco,1956023,KSCONVGRKYGT,Dairy,4.99,,4.99,,,,
2026-06-04,Costco,279783,KS CRMB BCN,Meat,8.99,,8.99,,,,
2026-05-28,Costco,1796677,OTTAVIO EVOO,Pantry,10.79,,10.79,,,,
2026-05-28,Costco,1010656,MEGA OMEGA,Health/Supplements,9.99,,9.99,,,,
2026-05-28,Costco,39036,ROMAINE,Produce,5.79,,5.79,,,,
2026-05-28,Costco,56366,RASPBERRIES,Produce,2.99,,2.99,,,,
2026-05-28,Costco,7445,10LB BAKERS,Produce,4.79,,4.79,10.0,lb,0.479,
2026-05-28,Costco,555000,KS PNUT BUTR,Pantry,9.89,,9.89,,,,
2026-05-28,Costco,384881,KS BUTTER,Dairy,10.49,,10.49,,,,
2026-05-28,Costco,8789,PINEAPPLE,Produce,2.99,,2.99,,,,
2026-05-28,Costco,1309922,ORG CHIA,Pantry,8.99,,8.99,,,,
2026-05-28,Costco,38742,SWEET CORN,Produce,4.99,,4.99,,,,
2026-05-28,Costco,1025795,KS 5DZ EGGS,Dairy,8.39,,8.39,60.0,ct,,0.1398
2026-05-28,Costco,1980459,FOSSMAT,Household,19.99,5.00,14.99,,,,
2026-05-28,Costco,1136340,3LB ORG GALA,Produce,4.69,,4.69,3.0,lb,1.563,
2026-05-28,Costco,568915,ORG CUCUMBER,Produce,6.49,,6.49,,,,
2026-05-28,Costco,1832569,OUTSHINE1.5Z,Frozen/Snacks,9.99,2.50,7.49,,,,
2026-05-28,Costco,32168,FRYER THIGHS,Meat,11.59,,11.59,,,,
2026-05-28,Costco,77053,GRAPE TOMATO,Produce,6.29,,6.29,,,,
2026-05-28,Costco,3,WHOLE MILK,Dairy,3.58,,3.58,,,,
2026-05-28,Costco,1141000,KS BRATS,Meat,12.89,,12.89,,,,
2026-05-28,Costco,1165284,KS MEX CHEES,Dairy,12.49,,12.49,,,,
2026-05-28,Costco,57554,BLUEBERRIES,Produce,4.89,,4.89,,,,
2026-05-28,Costco,19813,MUSHROOMS,Produce,3.99,,3.99,,,,
2026-05-28,Costco,27003,STRAWBERRIES,Produce,6.79,,6.79,,,,
2026-05-28,Costco,6021,PREM. PLUMS,Produce,5.99,,5.99,,,,
2026-05-28,Costco,446586,QUAKER OATS,Pantry,7.99,,7.99,,,,
2026-05-28,Costco,4032,WATERMELON,Produce,6.99,,6.99,,,,
2026-06-21,Costco,1992399,FREEZIE POP,Frozen/Snacks,9.99,,9.99,,,,
2026-06-21,Costco,21020,VINE TOMATO,Produce,6.49,,6.49,,,,
2026-06-21,Costco,1775302,KS PARM SSG,Meat,12.99,,12.99,,,,
2026-06-21,Costco,1221092,ARTISAN ROLL,Bakery,5.99,,5.99,,,,
2026-06-21,Costco,30669,BANANAS,Produce,1.49,,1.49,,,,
2026-06-21,Costco,123614,GREEN ONIONS,Produce,5.99,,5.99,,,,
2026-06-21,Costco,747,ORANGES,Produce,4.59,,4.59,,,,
2026-06-21,Costco,21101,BEEF ROUND,Meat,38.91,,38.91,,,,
2026-06-21,Costco,1991766,BLUEBERRY MUF,Bakery,6.99,,6.99,,,,
2026-06-21,Costco,7812,YELLOW ONION,Produce,2.99,,2.99,,,,
2026-06-21,Costco,42527,ST LOUIS RIB,Meat,34.06,,34.06,,,,
2026-06-21,Costco,4032,WATERMELON,Produce,6.99,,6.99,,,,
2026-06-21,Costco,87745,ROTISSERIE,Prepared/Deli,4.99,,4.99,,,,
2026-06-21,Costco,1136340,3LB ORG GALA,Produce,4.69,,4.69,3.0,lb,1.563,
2026-06-13,Costco,19813,MUSHROOMS,Produce,3.99,,3.99,,,,
2026-06-13,Costco,57554,BLUEBERRIES,Produce,4.89,,4.89,,,,
2026-06-13,Costco,39036,ROMAINE,Produce,5.99,,5.99,,,,
2026-06-13,Costco,6021,PREM. PLUMS,Produce,5.99,,5.99,,,,
2026-06-13,Costco,16783,SHRIMP,Seafood,16.29,,16.29,,,,
2026-06-13,Costco,1637598,KS CAGE FREE (eggs),Dairy,3.39,,3.39,,,,
2026-06-13,Costco,7445,10LB BAKERS,Produce,4.89,,4.89,10.0,lb,0.489,
2026-06-13,Costco,33724,GROUND BEEF,Meat,35.28,,35.28,,,,
2026-06-13,Costco,342994,UNCLEAR - ORG item (obscured by pen mark),Other,8.99,,8.99,,,,
2026-06-13,Costco,3,WHOLE MILK,Dairy,3.88,,3.88,,,,
2026-06-13,Costco,33852,DRUMSTICKS,Meat,4.99,,4.99,,,,
2026-06-13,Costco,67072,ORANGES,Produce,4.99,,4.99,,,,
2026-06-13,Costco,25949,FRESH GARLIC,Produce,5.89,,5.89,,,,
2026-06-13,Costco,38742,SWEET CORN,Produce,4.99,,4.99,,,,
2026-06-13,Costco,1136340,3LB ORG GALA,Produce,4.69,,4.69,3.0,lb,1.563,
2026-06-13,Costco,27003,STRAWBERRIES,Produce,5.99,,5.99,,,,
2026-06-13,Costco,47825,GREEN GRAPES,Produce,6.89,1.50,5.39,,,,
2026-06-13,Costco,56366,RASPBERRIES,Produce,4.89,,4.89,,,,
2026-06-13,Costco,21046,TOMATO MEDLE,Produce,6.69,,6.69,,,,
2026-06-13,Costco,522107,GM CHEERIOS,Pantry,6.89,2.00,4.89,,,,
2026-06-13,Costco,568915,ORG CUCUMBER,Produce,6.49,,6.49,,,,
2026-06-13,Costco,30669,BANANAS,Produce,1.49,,1.49,,,,
2026-06-13,Costco,910270,ORG GRE BEAN,Produce,6.49,,6.49,,,,
2026-06-13,Costco,8789,PINEAPPLE,Produce,2.99,,2.99,,,,
2026-06-05,Costco,6262016,"KS BATH (tissue, partially obscured)",Household,20.99,,20.99,,,,
2026-06-05,Costco,560519,WILDROOTS,Pantry,10.49,2.70,7.79,,,,
2026-06-05,Costco,2049251,BKRS 3.5LB (potatoes),Produce,4.99,,4.99,3.5,lb,1.426,
2026-06-05,Costco,1063232,KS EGG WHITE,Dairy,10.99,,10.99,,,,
2026-06-05,Costco,2022464,SIMPLY OJ,Beverages,10.99,,10.99,,,,
2026-06-05,Costco,1462402,HBO W/ALMNDS (unclear brand),Snacks,7.99,,7.99,,,,
2026-06-05,Costco,87745,ROTISSERIE,Prepared/Deli,4.99,,4.99,,,,
2026-06-05,Costco,1337852,SHRIMP 31/40,Seafood,14.59,,14.59,,,,
2026-06-05,Costco,1055385,GEFEN BEETS,Pantry,7.79,,7.79,,,,
2026-06-05,Costco,3,WHOLE MILK,Dairy,3.58,,3.58,,,,
2026-06-05,Costco,33724,GROUND BEEF,Meat,38.40,,38.40,,,,
2026-06-05,Costco,1801,MANDARINS,Produce,4.39,,4.39,,,,
2026-06-05,Costco,203444,KS PECANS,Pantry,14.99,,14.99,,,,
2026-07-10,Walmart,,Colgate Extra Clean Toothbrush 4pk,Household,2.96,,2.96,,,,
2026-07-10,Walmart,,LYSOL Kitchen Pro Antibacterial Cleaner 22oz,Household,3.97,,3.97,22.0,oz,2.887,
2026-07-10,Walmart,,Pen+Gear Copy Paper 500 sheets,Household,5.77,,5.77,,,,
